,id_funcionario,nome,cargo,departamento,obra_atual,data_admissao,salario,sexo,escolaridade,tem_cnh,certificacoes_seguranca,ultimo_treinamento,horas_treinamento_ano,dias_ausencia_mes,acidentes_trabalho,uso_epi_score,avaliacao_performance,status_funcionario,data_demissao,motivo_saida,custo_contratacao,tempo_preenchimento_vaga_dias,data_nascimento
0,1001,João Silva,Pedreiro,Operacional,Residencial Jardins,2023-03-15,2800,M,Ensino Fundamental,Sim,NR10;NR35,2024-08-15,40,2,0,9.5,8.2,Ativo,,,,3500,1961-12-20
1,1002,Maria Santos,Engenheira Civil,Técnico,Comercial Centro,2022-01-10,8500,F,Superior Completo,Sim,NR18;NR35,2024-09-01,60,0,0,10,9.1,Ativo,,,,12000,2001-09-07
2,1003,Carlos Oliveira,Mestre de Obras,Operacional,Industrial Norte,2021-06-20,4200,M,Ensino Médio,Sim,NR18;NR10,2024-07-20,35,1,1,8.5,7.8,Ativo,,,,5500,1988-09-21
3,1004,Ana Costa,Auxiliar Administrativo,Administrativo,Escritório Central,2023-08-01,2200,F,Superior Incompleto,Não,,2024-06-10,25,3,0,10,8.7,Ativo,,,,2800,1972-11-02
4,1005,Roberto Lima,Soldador,Operacional,Industrial Norte,2020-11-05,3200,M,Ensino Médio,Sim,NR18;NR35;NR33,2024-08-30,50,1,0,9.2,8.9,Ativo,,,,4200,1971-12-19
5,1006,Fernanda Rocha,Técnica em Segurança,Técnico,Residencial Jardins,2022-05-12,3800,F,Técnico,Sim,NR18;NR10;NR33,2024-09-05,80,0,0,10,9.3,Ativo,,,,6500,1987-03-22
6,1007,José Ferreira,Servente,Operacional,Comercial Centro,2023-11-20,1800,M,Ensino Fundamental,Não,NR18,2024-05-15,20,4,0,8,7.2,Ativo,,,,2100,1959-10-07
7,1008,Patrícia Alves,Arquiteta,Técnico,Residencial Jardins,2021-09-08,7200,F,Superior Completo,Sim,NR18,2024-08-22,45,1,0,10,8.8,Ativo,,,,10500,1991-08-01
8,1009,Marcos Souza,Eletricista,Operacional,Industrial Norte,2022-12-03,3500,M,Técnico,Sim,NR10;NR35,2024-07-10,55,2,1,9,8.1,Ativo,,,,4800,1965-06-12
9,1010,Luciana Dias,Analista de RH,Administrativo,Escritório Central,2023-02-14,4500,F,Superior Completo,Sim,,2022-09-12,70,1,0,10,9,Desligado,2022-09-15,Pedido Demissão,,8200,1974-01-09
10,1011,Antonio Gomes,Pedreiro,Operacional,Comercial Centro,2024-01-08,2800,M,Ensino Fundamental,Não,NR18,2024-08-01,30,3,0,8.8,7.9,Ativo,,,,3500,1962-03-01
11,1012,Sandra Melo,Contadora,Administrativo,Escritório Central,2020-03-22,5500,F,Superior Completo,Sim,,2024-06-30,40,0,0,10,9.2,Ativo,,,,9500,1979-06-14
12,1013,Rafael Torres,Carpinteiro,Operacional,Residencial Jardins,2023-07-10,3000,M,Ensino Médio,Sim,NR18;NR35,2024-08-18,42,2,0,9.1,8.4,Ativo,,,,4000,2000-12-02
13,1014,Camila Reis,Estagiária Engenharia,Técnico,Industrial Norte,2024-06-15,1200,F,Superior Incompleto,Não,NR18,2024-08-25,35,1,0,9.5,8,Ativo,,,,1500,2004-05-12
14,1015,Eduardo Martins,Motorista,Operacional,Todas as Obras,2021-12-01,2600,M,Ensino Médio,Sim,NR35,2024-07-05,25,3,0,9,7.5,Ativo,,,,3200,1997-04-08
15,1016,Juliana Barbosa,Almoxarife,Operacional,Escritório Central,2022-08-18,2400,F,Ensino Médio,Não,NR18,2024-06-15,30,2,0,9.3,8.6,Ativo,,,,3000,1990-02-06
16,1017,Paulo Henrique,Encarregado,Operacional,Comercial Centro,2020-05-30,3800,M,Ensino Médio,Sim,NR18;NR10,2024-07-28,48,1,0,8.7,8.3,Ativo,,,,5000,1988-08-05
17,1018,Renata Lima,Assistente Financeiro,Administrativo,Escritório Central,2023-04-12,3200,F,Superior Completo,Não,,2024-09-08,35,2,0,10,8.9,Ativo,,,,4500,1987-09-18
18,1019,Diego Santos,Pedreiro,Operacional,Industrial Norte,2019-08-15,3200,M,Ensino Fundamental,Sim,NR18;NR35,2024-08-10,45,1,1,8.9,8.7,Ativo,,,,3500,1984-02-14
19,1020,Carla Nunes,Coordenadora de RH,Administrativo,Escritório Central,2019-11-20,6500,F,Superior Completo,Sim,,2024-09-10,65,0,0,10,9.4,Ativo,,,,11000,1978-03-04
20,1021,Thiago Rocha,Servente,Operacional,Residencial Jardins,2024-03-05,1800,M,Ensino Fundamental,Não,NR18,2024-08-12,18,5,0,7.5,6.8,Ativo,,,,2100,1998-09-01
21,1022,Beatriz Silva,Estagiária Arquitetura,Técnico,Comercial Centro,2024-07-01,1000,F,Superior Incompleto,Não,NR18,2024-08-28,20,2,0,9.8,7.8,Ativo,,,,1200,2005-12-29
22,1023,Gustavo Lima,Soldador,Operacional,Industrial Norte,2022-02-28,3200,M,Técnico,Sim,NR18;NR35;NR33,2024-08-20,52,1,0,9.4,8.8,Ativo,,,,4200,1995-12-12
23,1024,Isabel Costa,Recepcionista,Administrativo,Escritório Central,2023-09-10,2000,F,Ensino Médio,Não,,2024-06-20,15,3,0,10,8.1,Ativo,,,,2500,2000-07-03
24,1025,Rodrigo Alves,Técnico Eletrônico,Técnico,Todas as Obras,2021-04-14,4200,M,Técnico,Sim,NR10;NR35,2024-07-15,58,1,0,9.6,8.9,Ativo,,,,6000,1999-10-30
25,1026,Adriana Souza,Pedreiro,Operacional,Comercial Centro,2024-05-20,2800,F,Ensino Fundamental,Não,NR18,2024-08-15,25,2,0,8.6,7.7,Desligado,2024-09-15,Pedido Demissão,3500,15,1975-03-15
26,1027,Leonardo Dias,Mestre de Obras,Operacional,Residencial Jardins,2018-12-10,4500,M,Ensino Médio,Sim,NR18;NR10;NR35,2024-08-05,55,0,0,9.8,9.1,Ativo,,,,5500,1991-03-21
27,1028,Vanessa Martins,Auxiliar de Escritório,Administrativo,Escritório Central,2023-12-01,2100,F,Ensino Médio,Não,,2024-06-25,20,4,0,10,7.9,Desligado,2024-08-30,Demissão por Justa Causa,2800,20,1995-04-12
28,1029,Felipe Oliveira,Carpinteiro,Operacional,Industrial Norte,2022-10-15,3000,M,Ensino Médio,Sim,NR18;NR35,2024-07-30,40,2,1,8.8,8.2,Ativo,,,,4000,1980-08-08
29,1030,Mônica Ferreira,Engenheira de Segurança,Técnico,Todas as Obras,2020-07-05,9200,F,Superior Completo,Sim,NR18;NR10;NR33;NR35,2024-09-02,85,0,0,10,9.6,Ativo,,,,15000,1962-10-26
30,1031,Bruno Costa,Pedreiro,Operacional,Residencial Jardins,2023-06-12,2900,M,Ensino Fundamental,Não,NR18,2024-08-10,32,1,0,9.1,8.3,Ativo,,,,3500,1976-05-12
31,1032,Cláudia Mendes,Auxiliar de Limpeza,Operacional,Escritório Central,2024-02-20,1600,F,Ensino Fundamental,Não,,2024-06-15,12,2,0,10,7.8,Ativo,,,,2000,1982-01-29
32,1033,Sérgio Barbosa,Operador de Máquinas,Operacional,Industrial Norte,2021-08-15,3800,M,Ensino Médio,Sim,NR18;NR12,2024-08-25,48,1,0,9.3,8.6,Ativo,,,,5200,1974-09-26
33,1034,Amanda Silva,Estagiária de RH,Administrativo,Escritório Central,2024-07-10,1100,F,Superior Incompleto,Não,,2024-08-20,25,1,0,10,8.4,Ativo,,,,1300,1978-06-19
34,1035,Francisco Lima,Armador,Operacional,Comercial Centro,2022-03-08,3100,M,Ensino Médio,Sim,NR18;NR35,2024-07-28,38,2,0,8.9,8.1,Ativo,,,,4100,1981-02-08
35,1036,Rosana Santos,Secretária,Administrativo,Escritório Central,2019-05-15,2800,F,Ensino Médio,Não,,2024-06-30,28,1,0,10,8.9,Ativo,,,,3500,1973-05-13
36,1037,Jeferson Rocha,Ajudante Geral,Operacional,Residencial Jardins,2024-01-15,1900,M,Ensino Fundamental,Não,NR18,2024-08-05,22,3,0,8.2,7.5,Ativo,,,,2300,1975-11-22
37,1038,Tânia Oliveira,Técnica em Edificações,Técnico,Industrial Norte,2020-10-22,4800,F,Técnico,Sim,NR18;NR10,2024-08-15,65,0,0,9.8,9.2,Ativo,,,,7500,1995-09-02
38,1039,Ricardo Alves,Pintor,Operacional,Comercial Centro,2023-04-18,2600,M,Ensino Fundamental,Sim,NR18,2024-07-20,28,2,0,8.7,8,Ativo,,,,3200,1962-01-31
39,1040,Ivone Martins,Coordenadora Financeira,Administrativo,Escritório Central,2018-09-12,7800,F,Superior Completo,Sim,,2024-09-05,45,0,0,10,9.5,Ativo,,,,12500,1967-04-17
40,1041,Antônio Carlos,Vigilante,Operacional,Todas as Obras,2022-11-30,2400,M,Ensino Médio,Sim,,2024-06-12,20,1,0,9,8.2,Ativo,,,,2800,1982-05-28
